trade_id,symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,return_pct,holding_days,entry_strategy_id,entry_strategy_version_id,entry_signal_strength,entry_confidence,entry_reason,entry_price_source,exit_reason,exit_strategy_id,exit_trigger,market_regime,outcome_label
broker_match_0015_AMZN,AMZN,2026-05-14T15:30:59.845589Z,2026-05-14T17:07:15.447547Z,323,267.73,268.16,138.83,0.0016,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (13.30%) indicates breakout (intraday weak: smoothed=0.25%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0016_AMZN,AMZN,2026-05-14T15:30:59.845589Z,2026-05-15T13:31:55.918555Z,1,267.73,262.39,-5.34,-0.0199,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (13.30%) indicates breakout (intraday weak: smoothed=0.25%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0007_AMD,AMD,2026-05-14T15:31:02.11278Z,2026-05-14T17:07:14.70787Z,261,451.0,447.62,-882.18,-0.0075,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (25.50%) indicates breakout (intraday weak: smoothed=-0.62%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0054_DELL,DELL,2026-05-14T15:31:06.390072Z,2026-05-14T17:23:28.763823Z,299,245.56,244.78,-233.22,-0.0032,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (21.19%) indicates breakout + Intraday confirmed (smoothed=0.34%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0088_INTC,INTC,2026-05-14T15:31:10.628077Z,2026-05-14T17:23:36.097668Z,823,116.31,115.26,-864.15,-0.009,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (42.46%) indicates breakout (intraday weak: smoothed=0.02%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0078_HPE,HPE,2026-05-14T15:31:15.241074Z,2026-05-14T17:23:34.941235Z,2359,34.68,33.38,-3066.7,-0.0375,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (13.48%) indicates breakout (intraday weak: smoothed=0.12%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0021_ARM,ARM,2026-05-14T15:31:20.485202Z,2026-05-14T17:07:20.928999Z,266,222.93,222.7,-61.18,-0.001,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (29.59%) indicates breakout (intraday weak: smoothed=-0.12%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0158_QTUM,QTUM,2026-05-14T17:23:44.694319Z,2026-05-15T13:32:47.255568Z,649,147.42,142.46,-3218.6,-0.0336,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.8976505536051852,0.6358358088036729,"Strong bullish momentum (7.48%) indicates breakout + Intraday confirmed (smoothed=0.82%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0146_PTF,PTF,2026-05-14T17:23:51.707667Z,2026-05-15T13:33:46.697448Z,786,122.8,118.52,-3364.44,-0.0349,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (11.62%) indicates breakout (intraday weak: smoothed=-6.46%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0168_SHOC,SHOC,2026-05-14T17:23:53.293413Z,2026-05-15T13:32:02.539292Z,942,108.47,103.38,-4794.78,-0.0469,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (12.49%) indicates breakout + Intraday confirmed (smoothed=12.41%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0207_TTEQ,TTEQ,2026-05-14T17:23:57.451143Z,2026-05-15T13:33:00.939662Z,1604,41.7,40.6,-1764.4,-0.0264,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.7081462475946132,0.5016035920461843,"Strong bullish momentum (5.90%) indicates breakout + Intraday confirmed (smoothed=3.01%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0196_SOXX,SOXX,2026-05-14T17:24:04.733549Z,2026-05-15T13:31:12.105744Z,199,527.3,509.59,-3524.06,-0.0336,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (16.37%) indicates breakout (intraday weak: smoothed=-0.27%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0074_GTOP,GTOP,2026-05-14T17:24:06.248196Z,2026-05-15T13:33:36.160967Z,1379,47.12,46.17,-1306.98,-0.0201,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.6490765171503972,0.45976253298153136,"Strong bullish momentum (5.41%) indicates breakout + Intraday confirmed (smoothed=26.40%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0190_SOXQ,SOXQ,2026-05-14T17:24:10.250875Z,2026-05-15T13:32:21.012759Z,1101,94.47,91.6,-3164.56,-0.0304,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (15.83%) indicates breakout (intraday weak: smoothed=-2.34%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0159_QTUM,QTUM,2026-05-15T14:02:33.428804Z,2026-06-04T14:06:06.932562Z,328,142.78,162.01,6307.44,0.1347,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0191_SOXQ,SOXQ,2026-05-15T14:02:36.842602Z,2026-06-04T14:02:21.097725Z,251,91.07,103.49,3117.8,0.1364,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0192_SOXQ,SOXQ,2026-05-15T14:02:36.842602Z,2026-06-04T14:06:12.91481Z,307,91.07,102.62,3546.45,0.1268,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0067_FTXL,FTXL,2026-05-15T14:02:41.577595Z,2026-06-01T14:04:06.743071Z,223,234.28,252.71,4110.81,0.0787,17,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0197_SOXX,SOXX,2026-05-15T14:02:45.747894Z,2026-06-04T14:02:30.114479Z,44,508.56,582.52,3254.09,0.1454,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0198_SOXX,SOXX,2026-05-15T14:02:45.747894Z,2026-06-04T14:06:13.713461Z,57,508.56,577.68,3940.03,0.1359,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0037_CHPX,CHPX,2026-05-15T14:02:48.481149Z,2026-06-04T14:02:08.326664Z,262,88.3,102.09,3612.98,0.1562,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0038_CHPX,CHPX,2026-05-15T14:02:48.481149Z,2026-06-04T14:05:57.168037Z,322,88.3,101.38,4211.76,0.1481,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0035_CHPS,CHPS,2026-05-15T14:14:09.445711Z,2026-06-04T14:02:13.417575Z,281,81.93,92.87,3075.41,0.1336,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0036_CHPS,CHPS,2026-05-15T14:14:09.445711Z,2026-06-04T14:05:55.273515Z,350,81.93,92.18,3587.5,0.1251,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0177_SMH,SMH,2026-05-15T14:14:13.128631Z,2026-06-04T14:02:14.159621Z,41,560.87,608.4,1948.73,0.0847,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0178_SMH,SMH,2026-05-15T14:14:13.128631Z,2026-06-04T14:06:09.203624Z,49,560.87,605.07,2165.68,0.0788,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0180_SMHX,SMHX,2026-05-15T14:14:18.464373Z,2026-06-04T14:02:16.737825Z,417,56.19,63.75,3152.2,0.1345,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0181_SMHX,SMHX,2026-05-15T14:14:18.464373Z,2026-06-04T14:06:11.873286Z,492,56.19,63.31,3502.66,0.1267,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0152_QTEC,QTEC,2026-05-15T14:14:21.909276Z,2026-06-04T17:00:48.935815Z,168,290.1,329.31,6587.28,0.1352,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0208_TTEQ,TTEQ,2026-05-15T14:14:26.986591Z,2026-06-04T14:02:26.248542Z,566,40.91,43.36,1386.7,0.0599,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0209_TTEQ,TTEQ,2026-05-15T14:14:26.986591Z,2026-06-04T14:06:15.576831Z,602,40.91,43.27,1420.72,0.0577,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0063_FRWD,FRWD,2026-05-15T14:14:29.495141Z,2026-06-04T17:00:36.247664Z,1813,30.14,33.32,5765.34,0.1055,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0140_PSCT,PSCT,2026-05-15T14:14:32.887201Z,2026-06-04T17:00:51.684859Z,603,78.26,87.6,5632.02,0.1193,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0169_SKYY,SKYY,2026-05-15T14:14:37.248362Z,2026-06-03T17:01:55.79859Z,180,127.99,147.76,3558.6,0.1545,19,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0170_SKYY,SKYY,2026-05-15T14:14:37.248362Z,2026-06-08T13:31:35.908926Z,66,127.99,141.33,880.44,0.1042,23,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0147_PTF,PTF,2026-05-15T14:14:43.076713Z,2026-06-04T17:00:48.984516Z,276,119.84,134.47,4038.15,0.1221,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0075_GTOP,GTOP,2026-05-15T14:14:46.592606Z,2026-06-04T17:00:39.073123Z,585,46.75,49.92,1854.45,0.0678,20,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0068_GOOGL,GOOGL,2026-05-15T14:14:49.483578Z,2026-06-01T14:04:13.322804Z,21,398.86,376.26,-474.76,-0.0567,16,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,bad
broker_match_0008_AMD,AMD,2026-05-18T14:13:57.032383Z,2026-06-01T14:04:02.336649Z,2,421.38,487.5,132.25,0.1569,13,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0009_AMD,AMD,2026-05-18T17:02:43.9252Z,2026-06-01T14:04:02.336649Z,4,417.37,487.5,280.52,0.168,13,broker_reconstructed,broker_reconstructed,,,,,broker_fill,broker_reconstructed,,,good
broker_match_0079_HPE,HPE,2026-05-20T13:30:23.721111Z,2026-06-02T14:04:00.624244Z,120,32.98,58.97,3119.31,0.7882,13,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (13.38%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
broker_match_0045_CRWD,CRWD,2026-05-20T13:31:04.084242Z,2026-06-03T17:01:35.316576Z,7,619.7,748.0,898.1,0.207,14,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (38.39%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
broker_match_0128_PANW,PANW,2026-05-20T13:31:09.446558Z,2026-06-03T17:01:54.89659Z,19,239.88,280.44,770.71,0.1691,14,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (33.91%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
broker_match_0148_QCOM,QCOM,2026-05-20T13:31:21.575837Z,2026-05-27T14:08:36.275697Z,24,197.88,230.34,779.04,0.164,7,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,0.8926383784385789,0.758742621672792,Strong bullish momentum (8.93%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
broker_match_0049_DDOG,DDOG,2026-05-20T13:31:25.805641Z,2026-06-02T14:03:48.324746Z,25,216.22,261.19,1124.27,0.208,13,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (62.76%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
broker_match_0055_DELL,DELL,2026-05-20T13:31:37.846792Z,2026-06-02T14:03:53.638952Z,16,240.41,456.95,3464.72,0.9007,13,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (12.59%) indicates breakout,,broker_fill,broker_reconstructed,,bullish,good
