endpoint,started_at,duration_ms,status,error_type,retry_count,symbol
broker.fetch_positions,2026-07-01T13:35:09.951299+00:00,808.9,ok,,0,
broker.fetch_account,2026-07-01T16:00:03.654245+00:00,858.8,ok,,0,
broker.fetch_positions,2026-07-01T16:00:08.518576+00:00,484.8,ok,,0,
broker.fetch_account,2026-07-01T19:55:03.034072+00:00,604.0,ok,,0,
broker.fetch_positions,2026-07-01T19:55:05.965719+00:00,560.3,ok,,0,
broker.fetch_bars,2026-07-01T19:55:23.360413+00:00,582.3,ok,,0,DDOG
broker.fetch_bars,2026-07-01T19:55:23.361030+00:00,718.3,ok,,0,CRWD
broker.fetch_bars,2026-07-01T19:55:23.366212+00:00,847.3,ok,,0,KLAC
broker.fetch_bars,2026-07-01T19:55:23.369652+00:00,918.2,ok,,0,FTNT
broker.fetch_bars,2026-07-01T19:55:23.361567+00:00,946.0,ok,,0,AMD
broker.fetch_bars,2026-07-01T19:55:23.362218+00:00,957.7,ok,,0,AMAT
broker.fetch_bars,2026-07-01T19:55:23.945118+00:00,582.6,ok,,0,DELL
broker.fetch_bars,2026-07-01T19:55:24.081538+00:00,570.0,ok,,0,INTC
broker.fetch_bars,2026-07-01T19:55:23.359990+00:00,1363.4,ok,,0,PANW
broker.fetch_bars,2026-07-01T19:55:24.308465+00:00,596.0,ok,,0,META
broker.fetch_bars,2026-07-01T19:55:23.359421+00:00,1619.6,ok,,0,RBRK
broker.fetch_bars,2026-07-01T19:55:24.305921+00:00,706.7,ok,,0,SNOW
broker.fetch_bars,2026-07-01T19:55:24.320854+00:00,746.5,ok,,0,LRCX
broker.fetch_bars,2026-07-01T19:55:24.529960+00:00,741.5,ok,,0,TSLA
broker.fetch_bars,2026-07-01T19:55:24.215680+00:00,1130.8,ok,,0,PATH
broker.fetch_bars,2026-07-01T19:55:24.653789+00:00,918.1,ok,,0,ANET
broker.fetch_account,2026-07-02T13:25:03.642533+00:00,563.0,ok,,0,
broker.fetch_positions,2026-07-02T13:25:07.644064+00:00,531.6,ok,,0,
broker.fetch_account,2026-07-02T13:35:03.554753+00:00,586.2,ok,,0,
broker.fetch_positions,2026-07-02T13:35:14.376595+00:00,798.7,ok,,0,
broker.fetch_account,2026-07-02T16:00:03.897319+00:00,1005.3,ok,,0,
broker.fetch_positions,2026-07-02T16:00:09.448705+00:00,661.3,ok,,0,
broker.fetch_account,2026-07-02T19:55:03.059419+00:00,550.4,ok,,0,
broker.fetch_positions,2026-07-02T19:55:06.287039+00:00,613.6,ok,,0,
broker.fetch_bars,2026-07-02T19:55:13.295617+00:00,579.8,ok,,0,DDOG
broker.fetch_bars,2026-07-02T19:55:13.294206+00:00,600.2,ok,,0,RBRK
broker.fetch_bars,2026-07-02T19:55:13.295090+00:00,922.6,ok,,0,CRWD
broker.fetch_bars,2026-07-02T19:55:13.296482+00:00,940.5,ok,,0,PATH
broker.fetch_bars,2026-07-02T19:55:13.294729+00:00,970.1,ok,,0,PANW
broker.fetch_bars,2026-07-02T19:55:13.296000+00:00,2124.3,ok,,0,SNOW
broker.fetch_account,2026-07-03T13:25:03.230414+00:00,551.5,ok,,0,
broker.fetch_positions,2026-07-03T13:25:07.169376+00:00,538.4,ok,,0,
broker.fetch_account,2026-07-03T13:35:03.451755+00:00,566.9,ok,,0,
broker.fetch_positions,2026-07-03T13:35:07.389960+00:00,527.6,ok,,0,
broker.fetch_account,2026-07-03T16:00:03.355898+00:00,537.0,ok,,0,
broker.fetch_positions,2026-07-03T16:00:07.190377+00:00,594.9,ok,,0,
broker.fetch_account,2026-07-03T19:55:02.642528+00:00,544.4,ok,,0,
broker.fetch_positions,2026-07-03T19:55:05.921998+00:00,525.9,ok,,0,
broker.fetch_bars,2026-07-03T19:55:10.920880+00:00,594.8,ok,,0,DDOG
broker.fetch_bars,2026-07-03T19:55:10.919824+00:00,603.3,ok,,0,PANW
broker.fetch_bars,2026-07-03T19:55:10.920489+00:00,612.7,ok,,0,CRWD
broker.fetch_bars,2026-07-03T19:55:10.921230+00:00,615.0,ok,,0,PATH
broker.fetch_bars,2026-07-03T19:55:10.920179+00:00,663.3,ok,,0,RBRK
broker.fetch_bars,2026-07-03T19:55:10.921511+00:00,992.7,ok,,0,SNOW
broker.fetch_account,2026-07-06T13:25:03.254304+00:00,490.0,ok,,0,
broker.fetch_positions,2026-07-06T13:25:06.712543+00:00,479.2,ok,,0,
broker.fetch_account,2026-07-06T13:35:03.926072+00:00,618.4,ok,,0,
broker.fetch_positions,2026-07-06T13:35:18.234205+00:00,497.8,ok,,0,
