trade_id,symbol,asset_class,entry_time,exit_time,holding_days,quantity,entry_price,exit_price,realized_pnl,quarantine_reason,exit_reason
broker_match_0189_PTF,PTF,etf,2026-06-25T13:37:03.413559Z,2026-06-04T17:00:48.984516Z,-20.8585,,133.91,134.47,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T13:37:03 exit_time=2026-06-04T17:00:48 holding_days=-20.8585,broker_fill
broker_match_0197_QTUM,QTUM,etf,2026-05-13T14:04:20.813344Z,2026-05-13T13:31:01.335056Z,-0.0231,,144.72,145.01,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T14:04:20 exit_time=2026-05-13T13:31:01 holding_days=-0.0231,broker_fill
broker_match_0199_QTUM,QTUM,etf,2026-05-13T17:32:28.279752Z,2026-05-13T14:46:08.457702Z,-0.1155,,147.0,145.09,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T17:32:28 exit_time=2026-05-13T14:46:08 holding_days=-0.1155,broker_fill
broker_match_0201_QTUM,QTUM,etf,2026-05-14T14:31:12.859132Z,2026-05-14T13:34:52.339367Z,-0.0391,,147.42,146.14,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T14:31:12 exit_time=2026-05-14T13:34:52 holding_days=-0.0391,broker_fill
broker_match_0203_QTUM,QTUM,etf,2026-05-14T17:23:44.694319Z,2026-05-14T15:14:19.206625Z,-0.0899,,147.42,147.89,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T17:23:44 exit_time=2026-05-14T15:14:19 holding_days=-0.0899,broker_fill
broker_match_0205_QTUM,QTUM,etf,2026-05-15T14:02:33.428804Z,2026-05-15T13:32:47.255568Z,-0.0207,,142.78,142.46,,migrate_quarantine_invalid_trades: entry_time=2026-05-15T14:02:33 exit_time=2026-05-15T13:32:47 holding_days=-0.0207,broker_fill
broker_match_0242_SOXX,SOXX,etf,2026-05-13T14:20:42.604873Z,2026-05-13T13:32:29.850675Z,-0.0335,,520.21,524.87,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T14:20:42 exit_time=2026-05-13T13:32:29 holding_days=-0.0335,broker_fill
broker_match_0244_SOXX,SOXX,etf,2026-05-14T17:24:04.733549Z,2026-05-13T15:02:28.562103Z,-1.0983,,527.3,527.91,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T17:24:04 exit_time=2026-05-13T15:02:28 holding_days=-1.0983,broker_fill
broker_match_0246_SOXX,SOXX,etf,2026-05-15T14:02:45.747894Z,2026-05-15T13:31:12.105744Z,-0.0219,,508.56,509.59,,migrate_quarantine_invalid_trades: entry_time=2026-05-15T14:02:45 exit_time=2026-05-15T13:31:12 holding_days=-0.0219,broker_fill
broker_match_0249_SOXX,SOXX,etf,2026-06-25T13:36:50.658499Z,2026-06-04T14:06:13.713461Z,-20.9796,,634.49,577.68,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T13:36:50 exit_time=2026-06-04T14:06:13 holding_days=-20.9796,broker_fill
broker_match_0026_ANET,ANET,,2026-07-13T13:37:09.294221Z,2026-06-25T13:37:11.420643Z,,,189.05,166.47,,r0v2b_reversed_chronology: entry_time > exit_time,trailing_stop
broker_match_0040_CDNS,CDNS,,2026-06-09T19:56:08.89601Z,2026-06-08T13:33:42.801779Z,,,390.71,383.39,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0086_GTOP,GTOP,,2026-05-13T17:49:58.925428Z,2026-05-13T14:45:57.450674Z,,,46.52,46.04,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0087_GTOP,GTOP,,2026-05-14T14:31:38.540941Z,2026-05-13T14:45:57.450674Z,,,47.11,46.04,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0088_GTOP,GTOP,,2026-05-14T14:31:38.540941Z,2026-05-14T13:32:53.838732Z,,,47.11,46.68,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0089_GTOP,GTOP,,2026-05-14T17:24:06.248196Z,2026-05-14T13:32:53.838732Z,,,47.12,46.68,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
broker_match_0090_GTOP,GTOP,,2026-05-14T17:24:06.248196Z,2026-05-14T15:14:07.870845Z,,,47.12,47.21,,r0v2b_reversed_chronology: entry_time > exit_time,time_based
broker_match_0091_GTOP,GTOP,,2026-05-15T14:14:46.592606Z,2026-05-14T15:14:07.870845Z,,,46.75,47.21,,r0v2b_reversed_chronology: entry_time > exit_time,stop_loss
